Date & Time,Source IP,Destination IP,Source MAC,Destination MAC,Protocol,Flags,Src Port,Dst Port,Length
2020-03-16 15:03:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:03:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:03:59,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:03:59,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:04:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:04:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:04:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:04:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:04:29,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:04:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:04:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:04:59,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:04:59,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:05:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:05:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:05:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:05:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:05:29,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:05:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:05:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:05:59,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:05:59,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:06:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:06:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:06:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:06:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:06:29,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:06:29,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:06:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:06:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:06:59,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:06:59,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:07:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:07:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:07:00,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:07:00,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:07:29,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,SEC,53096,502,52
2020-03-16 15:07:29,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:07:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,52
2020-03-16 15:07:30,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
2020-03-16 15:07:30,192.168.0.50,192.168.0.45,40:f2:e9:9d:44:6b,00:25:65:00:2b:be,TCP,S,53096,502,48
2020-03-16 15:07:30,192.168.0.45,192.168.0.50,00:25:65:00:2b:be,40:f2:e9:9d:44:6b,TCP,AR,502,53096,40
